Body Name	Surface Slots	Orbital Slots	System Name	System Address	Body Type	Body ID	Parents	Scan Time	Scan Type	Star Type	Planet Class	Landable	Distance (LS)	Tidal Locked	Terraform State	Mass (Earths)	Stellar Mass (Suns)	Radius (km)	Gravity (g)	Surface Temp (K)	Surface Temp (C)	Absolute Magnitude	Age (million years)	Luminosity	Pressure (Pa)	Pressure (atm)	Atmosphere	Atmosphere Type	Atmosphere Composition	Volcanism	Ice %	Rock %	Metal %	Materials	Rings	Semi-major Axis (AU)	Eccentricity	Orbital Inclination (deg)	Periapsis (deg)	Orbital Period (days)	Ascending Node (deg)	Mean Anomaly (deg)	Rotation Period (days)	Axial Tilt (deg)	Was Discovered	Was Mapped Before	Was Footfalled	DSS Mapped Now	Probes Used	Efficiency Target	Efficient Mapping	Bio Signals	Geo Signals	Human Signals	Guardian Signals	Thargoid Signals	All Signals	Genuses
Nyeakua CQ-B c2-5 4 b	3	N/A	Nyeakua CQ-B c2-5	1470388606994	Planet	24	Planet:20 > Star:0	2026-07-26T06:22:50Z	Detailed		Icy body	Yes	1753.163	Yes	None	0.007839		1741.63	0.105	85.75	-187.4				0	0	None	None		water geysers volcanism	82.5072	15.9278	1.565	sulphur=27.052221%; carbon=22.748119%; phosphorus=14.563735%; iron=12.142312%; nickel=9.183936%; chromium=5.460801%; manganese=5.014651%; arsenic=1.566749%; tellurium=0.907376%; niobium=0.829862%; mercury=0.530235%		0.00291	0.000002	-0.0021	100.6103	2.530987	55.6399	325.3716	2.531579	14.3437	No	No	No	No				0	2	0	0	0	Geological:2	
Nyeakua CQ-B c2-5 4 c	2	N/A	Nyeakua CQ-B c2-5	1470388606994	Planet	25	Planet:20 > Star:0	2026-07-26T06:22:58Z	Detailed		Icy body	Yes	1752.752	Yes	None	0.013595		2083.77	0.1273	84.73	-188.42				0	0	None	None		None	82.0018	16.3678	1.6304	sulphur=26.806917%; carbon=22.541840%; phosphorus=14.431675%; iron=12.156322%; nickel=9.194532%; chromium=5.467101%; selenium=4.195509%; germanium=3.499591%; tin=0.725303%; tungsten=0.667504%; polonium=0.313716%		0.005247	0.000727	-0.0016	317.4667	6.127263	-130.3271	71.9459	6.128695	22.6423	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-5 4 d	2	1	Nyeakua CQ-B c2-5	1470388606994	Planet	26	Planet:20 > Star:0	2026-07-26T06:22:54Z	Detailed		Icy body	Yes	1752.494	Yes	None	0.006331		1623.52	0.0976	84.05	-189.1				0	0	None	None		None	82.5072	15.9278	1.565	sulphur=26.392248%; carbon=22.193150%; phosphorus=14.208433%; iron=11.846085%; nickel=8.959882%; chromium=5.327578%; manganese=4.892312%; selenium=4.130610%; niobium=0.809617%; antimony=0.722795%; mercury=0.517299%		0.008816	0.000173	0.4241	217.7193	13.345652	-42.3155	273.2599	13.348771	-9.4259	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-5 4 e	2	3	Nyeakua CQ-B c2-5	1470388606994	Planet	27	Planet:20 > Star:0	2026-07-26T06:22:53Z	Detailed		Icy body	Yes	1744.204	No	None	0.012189		2012.68	0.1223	83.5	-189.65				0	0	None	None		None	82.4273	15.9973	1.5754	sulphur=27.555508%; carbon=23.171328%; phosphorus=14.834682%; iron=12.388539%; nickel=9.370173%; chromium=5.571537%; zinc=3.366742%; arsenic=1.597942%; cadmium=0.962026%; tin=0.738425%; technetium=0.443088%		0.015189	0.001143	-0.4284	178.8319	30.182647	-114.6135	68.7053	-30.189701	119.3775	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-5 4 f	2	1	Nyeakua CQ-B c2-5	1470388606994	Planet	28	Planet:20 > Star:0	2026-07-26T06:22:56Z	Detailed		Icy body	Yes	1759.661	No	None	0.016079		2230.05	0.1314	82.8	-190.35				0	0	None	None		None	87.8816	10.4276	1.6908	sulphur=28.073973%; carbon=23.607306%; phosphorus=15.113802%; iron=12.230827%; nickel=9.250885%; manganese=5.051207%; germanium=3.230784%; zirconium=1.420251%; tin=0.756328%; yttrium=0.730533%; mercury=0.534100%		0.042739	0	87.5809	177.3647	142.460965	70.705	7.0699	3.083902	13.0254	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-5 5	N/A	3	Nyeakua CQ-B c2-5	1470388606994	Planet	43	Star:0	2026-07-26T06:22:38Z	Detailed		Icy body	No	2606.17	No	None	15.05311		18444.89	1.7983	69.84	-203.31				163874.563	1.617316	helium atmosphere	Helium	Helium=85.416138%; Hydrogen=8.058126%; Nitrogen=4.386448%	water geysers volcanism	63.2888	19.5266	9.5896			5.222762	0.000044	-1.9996	192.0917	5625.949276	61.0808	83.0699	1.233196	15.263	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-5 5 a	N/A	1	Nyeakua CQ-B c2-5	1470388606994	Planet	44	Planet:43 > Star:0	2026-07-26T06:22:36Z	Detailed		Icy body	No	2607.278	Yes	None	0.00022		533.84	0.0313	120.98	-152.17				58080.215	0.573207	methane atmosphere	Methane	Methane=100.000000%	None	82.5252	15.9121	1.5627			0.002337	0.000059	0.0033	94.3822	6.136055	-70.661	116.4509	6.136294	26.3201	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-5 5 b	3	2	Nyeakua CQ-B c2-5	1470388606994	Planet	45	Planet:43 > Star:0	2026-07-26T06:22:30Z	Detailed		Icy body	Yes	2604.156	Yes	None	0.000227		539.64	0.0317	93.43	-179.72				4853.654	0.047902	thin methane atmosphere	Methane	Methane=100.000000%	None	82.5252	15.9121	1.5627	sulphur=27.001577%; carbon=22.705532%; phosphorus=14.536470%; iron=12.115078%; nickel=9.163337%; manganese=5.003403%; selenium=4.225975%; vanadium=2.975042%; niobium=0.828001%; yttrium=0.723619%; tin=0.721954%		0.004543	0.000014	-0.289	60.3445	16.632774	-98.9003	247.3003	16.633421	-2.6011	No	No	No	No				1	0	0	0	0	Biological:1	
Nyeakua CQ-B c2-5 5 c	3	1	Nyeakua CQ-B c2-5	1470388606994	Planet	46	Planet:43 > Star:0	2026-07-26T06:22:32Z	Detailed		Icy body	Yes	2604.389	Yes	None	0.000199		516.49	0.0303	92.65	-180.5				4442.144	0.043841	thin methane atmosphere	Methane	Methane=100.000000%	None	82.5252	15.9121	1.5627	sulphur=26.835499%; carbon=22.565874%; phosphorus=14.447061%; iron=12.040563%; nickel=9.106977%; chromium=5.415040%; selenium=4.199983%; germanium=3.474283%; niobium=0.822908%; tungsten=0.661148%; technetium=0.430642%		0.008268	0.000307	0.0153	315.1709	40.841095	68.7111	350.1092	40.842683	-19.4006	No	No	No	No				1	0	0	0	0	Biological:1	
Nyeakua CQ-B c2-5 5 d	3	1	Nyeakua CQ-B c2-5	1470388606994	Planet	47	Planet:43 > Star:0	2026-07-26T06:22:34Z	Detailed		Icy body	Yes	2611.412	No	None	0.000175		494.9	0.029	91.92	-181.23				4075.058	0.040218	thin methane atmosphere	Methane	Methane=100.000000%	None	82.5252	15.9121	1.5627	sulphur=27.142775%; carbon=22.824265%; phosphorus=14.612486%; iron=12.178432%; nickel=9.211255%; chromium=5.477045%; manganese=5.029567%; arsenic=1.571537%; ruthenium=0.752096%; tungsten=0.668718%; mercury=0.531812%		0.011212	0.003076	-0.6414	130.7739	64.485912	-138.5691	61.8496	19.417108	-15.9902	No	No	No	No				1	0	0	0	0	Biological:1	
Nyeakua CQ-B c2-7 A	N/A	1	Nyeakua CQ-B c2-7	2020144420882	Star	1	Null:0	2026-07-26T06:26:41Z	AutoScan	K		N/A	0				0.648438	540748.67		4507	4233.85	6.455856	2600	Va											Nyeakua CQ-B c2-7 A A Belt [eRingClass_Rocky, MassMT=1.0798E+14, InnerRad=8.924E+8, OuterRad=2.0886E+9]	4.249945	0.47282	35.9037	240.345	15962.155605	143.4225	224.3046	3.073327	0	No	No	N/A	N/A										
Nyeakua CQ-B c2-7 B	N/A	2	Nyeakua CQ-B c2-7	2020144420882	Star	2	Null:0	2026-07-26T06:26:47Z	Detailed	M		N/A	8678.741				0.339844	338050.18		2952	2678.85	9.314301	2600	Va												8.109144	0.47282	35.9037	60.345	15962.155605	143.4225	224.3046	1.925869	0	No	No	N/A	N/A										
Nyeakua CQ-B c2-7 A 1	3	1	Nyeakua CQ-B c2-7	2020144420882	Planet	12	Star:1 > Null:0	2026-07-26T06:28:02Z	AutoScan		High metal content body	Yes	66.948	Yes	None	0.100806		2987.33	0.4591	494.83	221.68				0	0	None	None		None	0	67.3474	32.6526	iron=23.672224%; nickel=17.904678%; sulphur=16.860397%; carbon=14.177847%; phosphorus=9.076901%; zinc=6.433224%; germanium=4.987247%; arsenic=2.230365%; cadmium=1.838256%; tin=1.527150%; tellurium=1.291707%		0.1342	0.000321	-0.1064	34.4303	22.296913	108.6674	329.0396	22.296989	-1.0921	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-7 A 2	N/A	2	Nyeakua CQ-B c2-7	2020144420882	Planet	13	Star:1 > Null:0	2026-07-26T06:26:57Z	Detailed		High metal content body	No	87.383	No	None	0.23283		3885.37	0.6268	448.69	175.54				24847.936	0.24523	sulfur dioxide atmosphere	SulphurDioxide	SulphurDioxide=100.000000%	None	0	66.6027	33.3973			0.175125	0.000055	0.0417	113.5533	33.238356	-30.0021	353.3467	-33.238474	105.6279	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-7 A 2 a	1	1	Nyeakua CQ-B c2-7	2020144420882	Planet	14	Planet:13 > Star:1 > Null:0	2026-07-26T06:27:01Z	Detailed		Rocky body	Yes	87.46	Yes	None	0.009198		1445.03	0.179	436.33	163.18				0	0	None	None		None	0	86.1999	13.8001	iron=19.913416%; sulphur=17.881672%; nickel=15.061673%; carbon=15.036633%; phosphorus=9.626711%; manganese=8.224037%; germanium=5.289337%; vanadium=4.890042%; cadmium=1.546367%; molybdenum=1.300334%; ruthenium=1.229780%		0.000346	0	-36.1097	239.9459	2.76173	-66.3534	238.8333	2.81575	-8.5385	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-7 A 3	N/A	1	Nyeakua CQ-B c2-7	2020144420882	Planet	15	Star:1 > Null:0	2026-07-26T06:27:35Z	Detailed		High metal content body	No	123.867	Yes	None	0.498817		4931.83	0.8335	602.18	329.03				165175.484	1.630155	hot sulfur dioxide atmosphere	SulphurDioxide	SulphurDioxide=58.083767%; CarbonDioxide=41.916237%	None	0	67.3477	32.6523			0.247857	0.0015	-0.0389	323.9634	55.965457	91.4403	186.0365	55.965651	7.0458	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-7 A 4	N/A	1	Nyeakua CQ-B c2-7	2020144420882	Planet	16	Star:1 > Null:0	2026-07-26T06:27:10Z	Detailed		High metal content body	No	297.283	No	Terraformable	0.223248		3842.52	0.6145	469.16	196.01				307536.25	3.035147	carbon dioxide atmosphere	CarbonDioxide	CarbonDioxide=93.888916%; SulphurDioxide=6.111086%	None	0	67.347	32.653			0.596166	0.00188	3.1198	246.382	208.770118	48.581	291.8351	0.480644	-22.4446	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-7 A 5	N/A	3	Nyeakua CQ-B c2-7	2020144420882	Planet	17	Star:1 > Null:0	2026-07-26T06:27:21Z	Detailed		Water world	No	376.712	No	Terraformable	0.386752		4547.66	0.7601	350.64	77.49				88938.078	0.877751	nitrogen atmosphere	Nitrogen	Nitrogen=76.199677%; Oxygen=18.189871%; Water=5.588955%	None	0	66.3791	33.6209			0.751703	0.006227	0.0033	338.0044	295.588243	62.2422	133.259	1.100941	-88.5209	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-7 A 5 a	2	2	Nyeakua CQ-B c2-7	2020144420882	Planet	18	Planet:17 > Star:1 > Null:0	2026-07-26T06:27:30Z	Detailed		Rocky body	Yes	377.202	Yes	None	0.019857		1858.66	0.2336	223.71	-49.44				0	0	None	None		None	0	86.1997	13.8003	iron=20.397160%; sulphur=18.316004%; nickel=15.427557%; carbon=15.401862%; phosphorus=9.860538%; chromium=9.173280%; germanium=5.417811%; zirconium=2.368531%; ruthenium=1.259655%; tin=1.257595%; tungsten=1.120009%		0.001526	0	-2.4779	249.807	19.69655	158.1557	200.0812	20.195871	16.9164	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua CQ-B c2-7 AB 1	N/A	1	Nyeakua CQ-B c2-7	2020144420882	Planet	19	Null:0	2026-07-26T06:27:37Z	Detailed		High metal content body	No	17104.848	No	None	5.155062		9775.64	2.1925	29.84	-243.31				12834.9	0.126671	helium atmosphere	Helium	Helium=79.270905%; Hydrogen=18.750763%; Neon=1.978347%	major silicate vapour geysers volcanism	0.9606	67.9924	31.047			35.199044	0.416938	-166.0242	113.3592	76719.34449	70.9903	276.7883	1.138261	-11.3261	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
